T(K),P(atm),tau(us)
924,3.42,10050
930,3.586,7912
930,3.534,13090
930,3.635,10420
931,3.622,7851
938,3.651,7723
938,3.535,6973
938,3.52,6133
939,3.622,6803
939,3.598,7274
944,3.651,5627
944,3.525,6819
957,3.541,3652
958,3.706,3737
964,3.566,3882
967,3.515,3408
967,3.711,3352
971,3.627,2377
973,3.624,2260
975,3.687,3229
977,3.589,2893
981,3.646,2920
984,3.679,1625
987,3.397,2075
992,3.448,1641
1000,3.651,1103
1003,3.572,1060
1010,3.454,628
1014,3.437,637
1021,3.374,618
1102,3.393,184
1118,3.392,150
